barrio,renta_anual,m2
Abrantes,13.000 €,61
Acacias,13.000 €,29
Adelfas,13.000 €,29
Alameda de Osuna,13.000 €,35
Almagro,13.000 €,18
Abrantes,14.000 €,65
Acacias,14.000 €,31
Adelfas,14.000 €,31
Alameda de Osuna,14.000 €,37
Almagro,14.000 €,20
Abrantes,16.000 €,75
Acacias,16.000 €,36
Adelfas,16.000 €,36
Alameda de Osuna,16.000 €,43
Almagro,16.000 €,22
Abrantes,18.000 €,84
Acacias,18.000 €,40
Adelfas,18.000 €,40
Alameda de Osuna,18.000 €,48
Almagro,18.000 €,25
Abrantes,20.000 €,94
Acacias,20.000 €,45
Adelfas,20.000 €,45
Alameda de Osuna,20.000 €,53
Almagro,20.000 €,29
